ENSAIO,DIRECAO,VIA,VARIAVEL,Condition,Condition_2
FWD,VOLTA,CE-176,52.6,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,41.9,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,39.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,29.6,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,93.4,Acceptable,WARNING
FWD,VOLTA,CE-176,35.9,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,36.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,31.6,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,36.5,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,26.7,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,24.0,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,39.0,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,54.3,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,48.0,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,42.7,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,30.7,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,40.0,Acceptable,ACCEPTED
FWD,VOLTA,CE-176,43.2,Acceptable,ACCEPTED
FWD,IDA,CE-293,19.4,Acceptable,ACCEPTED
FWD,IDA,CE-293,14.8,Acceptable,ACCEPTED
FWD,IDA,CE-293,12.4,Acceptable,ACCEPTED
FWD,IDA,CE-293,13.9,Acceptable,ACCEPTED
FWD,IDA,CE-293,15.7,Acceptable,ACCEPTED
FWD,IDA,CE-293,29.5,Acceptable,ACCEPTED
FWD,IDA,CE-293,31.9,Acceptable,ACCEPTED
FWD,IDA,CE-293,31.6,Acceptable,ACCEPTED
FWD,IDA,CE-293,42.3,Acceptable,WARNING
FWD,IDA,CE-293,93.6,Unacceptable,REJECTION
FWD,IDA,CE-293,74.6,Unacceptable,EARLY CRACKING
FWD,IDA,CE-293,42.4,Acceptable,WARNING
FWD,IDA,CE-293,28.8,Acceptable,ACCEPTED
FWD,IDA,CE-293,50.0,Unacceptable,WARNING
FWD,IDA,CE-293,18.5,Acceptable,ACCEPTED
FWD,IDA,CE-293,74.0,Unacceptable,EARLY CRACKING
FWD,IDA,CE-293,45.9,Acceptable,WARNING
FWD,IDA,CE-293,41.6,Acceptable,WARNING
FWD,IDA,CE-293,28.8,Acceptable,ACCEPTED
FWD,IDA,CE-293,30.2,Acceptable,ACCEPTED
FWD,IDA,CE-293,43.6,Acceptable,WARNING
FWD,IDA,CE-293,33.0,Acceptable,ACCEPTED
FWD,IDA,CE-293,50.2,Unacceptable,WARNING
FWD,IDA,CE-293,32.6,Acceptable,ACCEPTED
FWD,IDA,CE-293,31.7,Acceptable,ACCEPTED
FWD,IDA,CE-293,42.7,Acceptable,WARNING
FWD,VOLTA,CE-293,66.7,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,63.6,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,63.0,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,53.6,Unacceptable,WARNING
FWD,VOLTA,CE-293,61.6,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,62.8,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,27.1,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,27.1,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,23.3,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,33.9,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,45.1,Acceptable,WARNING
FWD,VOLTA,CE-293,37.3,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,51.2,Unacceptable,WARNING
FWD,VOLTA,CE-293,64.7,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-293,49.8,Unacceptable,WARNING
FWD,VOLTA,CE-293,49.9,Unacceptable,WARNING
FWD,VOLTA,CE-293,30.2,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,39.4,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,53.4,Unacceptable,WARNING
FWD,VOLTA,CE-293,107.4,Unacceptable,REJECTION
FWD,VOLTA,CE-293,111.8,Unacceptable,REJECTION
FWD,VOLTA,CE-293,58.4,Unacceptable,WARNING
FWD,VOLTA,CE-293,48.5,Unacceptable,WARNING
FWD,VOLTA,CE-293,98.2,Unacceptable,REJECTION
FWD,VOLTA,CE-293,22.3,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,36.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,24.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,96.1,Unacceptable,REJECTION
FWD,VOLTA,CE-293,29.6,Acceptable,ACCEPTED
FWD,VOLTA,CE-293,28.3,Acceptable,ACCEPTED
FWD,LD,CE-449,75.4,Acceptable,ACCEPTED
FWD,LD,CE-449,73.7,Acceptable,ACCEPTED
FWD,LD,CE-449,29.0,Acceptable,ACCEPTED
FWD,LD,CE-449,22.9,Acceptable,ACCEPTED
FWD,LD,CE-449,27.8,Acceptable,ACCEPTED
FWD,LD,CE-449,31.4,Acceptable,ACCEPTED
FWD,LD,CE-449,31.7,Acceptable,ACCEPTED
FWD,LD,CE-449,30.1,Acceptable,ACCEPTED
FWD,LD,CE-449,33.1,Acceptable,ACCEPTED
FWD,LD,CE-449,23.7,Acceptable,ACCEPTED
FWD,LD,CE-449,29.0,Acceptable,ACCEPTED
FWD,LD,CE-449,28.7,Acceptable,ACCEPTED
FWD,LD,CE-449,47.9,Acceptable,ACCEPTED
FWD,LD,CE-449,105.3,Acceptable,WARNING
FWD,LD,CE-449,52.2,Acceptable,ACCEPTED
FWD,LD,CE-449,29.8,Acceptable,ACCEPTED
FWD,LD,CE-449,40.2,Acceptable,ACCEPTED
FWD,LD,CE-449,39.3,Acceptable,ACCEPTED
FWD,LD,CE-449,43.1,Acceptable,ACCEPTED
FWD,LD,CE-449,33.5,Acceptable,ACCEPTED
FWD,LD,CE-449,41.1,Acceptable,ACCEPTED
FWD,LD,CE-449,36.1,Acceptable,ACCEPTED
FWD,LD,CE-449,46.0,Acceptable,ACCEPTED
FWD,LD,CE-449,55.0,Acceptable,ACCEPTED
FWD,LD,CE-449,20.9,Acceptable,ACCEPTED
FWD,LD,CE-449,31.0,Acceptable,ACCEPTED
FWD,LD,CE-449,40.0,Acceptable,ACCEPTED
FWD,LD,CE-449,26.6,Acceptable,ACCEPTED
FWD,LD,CE-449,32.3,Acceptable,ACCEPTED
FWD,LD,CE-449,25.7,Acceptable,ACCEPTED
FWD,LD,CE-449,46.9,Acceptable,ACCEPTED
FWD,LD,CE-449,44.9,Acceptable,ACCEPTED
FWD,LD,CE-449,38.1,Acceptable,ACCEPTED
FWD,LD,CE-449,46.7,Acceptable,ACCEPTED
FWD,LD,CE-449,40.4,Acceptable,ACCEPTED
FWD,LE,CE-449,45.8,Acceptable,ACCEPTED
FWD,LE,CE-449,32.4,Acceptable,ACCEPTED
FWD,LE,CE-449,38.2,Acceptable,ACCEPTED
FWD,LE,CE-449,28.7,Acceptable,ACCEPTED
FWD,LE,CE-449,22.4,Acceptable,ACCEPTED
FWD,LE,CE-449,27.9,Acceptable,ACCEPTED
FWD,LE,CE-449,28.3,Acceptable,ACCEPTED
FWD,LE,CE-449,24.2,Acceptable,ACCEPTED
FWD,LE,CE-449,38.7,Acceptable,ACCEPTED
FWD,LE,CE-449,29.2,Acceptable,ACCEPTED
FWD,LE,CE-449,35.9,Acceptable,ACCEPTED
FWD,LE,CE-449,40.0,Acceptable,ACCEPTED
FWD,LE,CE-449,55.0,Acceptable,ACCEPTED
FWD,LE,CE-449,34.4,Acceptable,ACCEPTED
FWD,LE,CE-449,36.1,Acceptable,ACCEPTED
FWD,LE,CE-449,39.1,Acceptable,ACCEPTED
FWD,LE,CE-449,38.8,Acceptable,ACCEPTED
FWD,LE,CE-449,53.0,Acceptable,ACCEPTED
FWD,LE,CE-449,36.4,Acceptable,ACCEPTED
FWD,LE,CE-449,32.3,Acceptable,ACCEPTED
FWD,LE,CE-449,39.1,Acceptable,ACCEPTED
FWD,LE,CE-449,46.2,Acceptable,ACCEPTED
FWD,LE,CE-449,55.1,Acceptable,ACCEPTED
FWD,LE,CE-449,46.7,Acceptable,ACCEPTED
FWD,LE,CE-449,34.4,Acceptable,ACCEPTED
FWD,LE,CE-449,28.3,Acceptable,ACCEPTED
FWD,LE,CE-449,31.7,Acceptable,ACCEPTED
FWD,LE,CE-449,38.5,Acceptable,ACCEPTED
FWD,LE,CE-449,34.3,Acceptable,ACCEPTED
FWD,LE,CE-449,22.8,Acceptable,ACCEPTED
FWD,LE,CE-449,24.4,Acceptable,ACCEPTED
FWD,LE,CE-449,26.1,Acceptable,ACCEPTED
FWD,LE,CE-449,23.0,Acceptable,ACCEPTED
FWD,LE,CE-449,34.3,Acceptable,ACCEPTED
